,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Tubb3,0,4.82294499720444,0.179,0.006,0,0.173
Phox2b,0,6.07995226924254,0.173,0.002,0,0.171
Pja2,7.52699195890212e-217,1.96758795373837,0.228,0.058,3.76575407703873e-213,0.17
Lmo4,2.38762255743885e-135,1.4412504033892,0.269,0.099,1.19452756548665e-131,0.17
Rtn4,5.75324155682498e-91,1.006716588682,0.323,0.153,2.87834675087954e-87,0.17
Il1rap,0,4.06507839532612,0.181,0.011,0,0.17
Sdk2,0,4.75301708625624,0.176,0.006,0,0.17
Ppp1r2,3.57589006792548e-107,1.18314811140252,0.297,0.127,1.78901780098312e-103,0.17
Lamc1,1.79207267261193e-114,1.18977102444483,0.283,0.114,8.96573958107749e-111,0.169
Col4a1,4.73469993690462e-76,0.681282201011415,0.326,0.16,2.36877037843338e-72,0.166
Col5a1,2.06362768742243e-154,1.46134170328488,0.242,0.077,1.03243293201744e-150,0.165
Aplp2,1.3494607259618e-146,1.5836178486906,0.246,0.082,6.75135201198688e-143,0.164
Mapre2,1.91896940053973e-138,1.5287752378289,0.25,0.087,9.60060391090029e-135,0.163
Comt,3.59488903718378e-112,1.33582845772427,0.272,0.11,1.79852298530304e-108,0.162
Impact,1.19857764911e-212,1.99315644528867,0.216,0.054,5.99648397849734e-209,0.162
Fzd1,8.9151521482731e-157,1.68371387202875,0.238,0.076,4.46025061978103e-153,0.162
Spon1,0,2.64163750505555,0.189,0.028,0,0.161
Stk32a,0,6.36265736661733,0.163,0.002,0,0.161
Eng,1.50912875424256e-235,2.08374024805964,0.208,0.047,7.55017115747551e-232,0.161
Hspa5,9.40715962349109e-35,0.335975969429533,0.532,0.372,4.70640195963259e-31,0.16
Dbn1,0,2.62960128780515,0.188,0.029,0,0.159
Mapk8ip1,0,3.34307166697838,0.175,0.017,0,0.158
Rdx,1.56851461520917e-203,1.92807527539258,0.209,0.052,7.84727861989145e-200,0.157
Ndrg4,0,3.56619735137554,0.17,0.016,0,0.154
Asap2,1.13090696975944e-159,1.76947237612654,0.218,0.065,5.65792756970646e-156,0.153
Hey2,0,5.87932394464302,0.155,0.003,0,0.152
Klf15,0,4.07015550847706,0.161,0.009,0,0.152
Map1lc3a,6.34192997760443e-124,1.44609312850014,0.237,0.085,3.17286756779549e-120,0.152
Prkar1a,1.6997011894595e-83,1.09970276478591,0.285,0.133,8.5036050508659e-80,0.152
Ldhb,0,2.76799995021715,0.175,0.024,0,0.151
Ank2,0,4.25104919640124,0.157,0.008,0,0.149
