,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Kmt2e,1.03189390781018e-18,0.554223107740644,0.167,0.121,5.16256522077435e-15,0.046
Fcgr3,7.21808176186511e-31,0.704658951782622,0.105,0.06,3.61120630546112e-27,0.045
Arid1a,1.76083728082456e-26,0.79178178661129,0.118,0.073,8.80946891596526e-23,0.045
Pak2,1.02886571546786e-18,0.571651222630171,0.16,0.115,5.14741517448569e-15,0.045
Itsn2,1.54753388681257e-18,0.577739785786616,0.155,0.111,7.74231203572327e-15,0.044
C3,2.56758102746712e-16,-0.373249855712112,0.141,0.098,1.2845607880418e-12,0.043
Ncor1,1.31458576594175e-14,0.465247024572538,0.207,0.164,6.57687258700657e-11,0.043
Ddx6,3.44085297217832e-13,0.437121135362166,0.25,0.208,1.72145874198082e-09,0.042
Trp53,2.0379698224238e-22,0.750384460136814,0.113,0.072,1.01959630215863e-18,0.041
Dgka,2.49488070775061e-25,0.754024124150194,0.106,0.065,1.24818881808763e-21,0.041
Rhoa,1.7850446177741e-10,0.332716733730049,0.286,0.247,8.93057822272383e-07,0.039
Rbbp4,2.4297744804565e-12,0.434906686423775,0.188,0.15,1.21561617257239e-08,0.038
Akr1b3,6.83719350020883e-21,0.740486914300596,0.108,0.07,3.42064790815448e-17,0.038
Pdia3,4.00182611290443e-10,0.210405594959935,0.473,0.435,2.00211360428609e-06,0.038
Hnrnpa1,5.90723952865486e-06,0.114993016443077,0.388,0.352,0.0295539193618603,0.036
Brd4,2.64100798829925e-15,0.570775722188678,0.124,0.088,1.32129629654612e-11,0.036
Rock1,9.31340632753892e-15,0.532335685001282,0.128,0.092,4.65949718566772e-11,0.036
Cd47,1.03165811423886e-11,0.449858240294208,0.164,0.128,5.16138554553702e-08,0.036
Lsm14a,9.17720724977569e-13,0.480433368665833,0.152,0.116,4.59135678706278e-09,0.036
Jak2,1.2839891163297e-13,0.531440036757079,0.138,0.103,6.42379754899748e-10,0.035
Rbms1,1.2944080735199e-17,0.69264494464361,0.104,0.069,6.47592359182004e-14,0.035
Cct7,2.27037998579417e-12,0.497028306988462,0.152,0.117,1.13587110689282e-08,0.035
Ikbkb,3.70923537512954e-16,0.639868873058691,0.109,0.075,1.85573045817731e-12,0.034
Sirt7,2.26362856672741e-15,0.651203702496149,0.114,0.08,1.13249337193372e-11,0.034
Rap1a,1.84648277030049e-14,0.54648575995279,0.122,0.088,9.23795329981337e-11,0.034
Irf9,2.01542795505646e-14,0.609241569115664,0.115,0.081,1.00831860591475e-10,0.034
Utrn,3.45723094195707e-12,0.403054107453457,0.134,0.1,1.72965264026112e-08,0.034
Nek7,1.92849625528394e-11,0.480594797252981,0.15,0.116,9.64826676518557e-08,0.034
Lmnb1,5.65992642622447e-15,0.603576907244198,0.103,0.071,2.8316611910401e-11,0.032
Usp25,6.22338855907097e-14,0.576165476429531,0.104,0.073,3.11356129610321e-10,0.031
Mapkapk2,2.37144581482983e-11,0.487401892934775,0.128,0.097,1.18643434115936e-07,0.031
Plekha2,7.12082815387498e-14,0.637244723873536,0.101,0.071,3.56255032538365e-10,0.03
Xpo1,1.47359639831714e-09,0.445642550663061,0.136,0.106,7.37240278078063e-06,0.03
Stip1,8.66376161512703e-14,0.580806055737924,0.102,0.072,4.33447993604805e-10,0.03
Dpysl2,2.91967351459506e-11,0.450882574629297,0.112,0.082,1.46071265935191e-07,0.03
Etnk1,3.74908952564399e-10,0.470292688092898,0.125,0.095,1.87566948967969e-06,0.03
H2afz,1.81448558733946e-08,0.417475847625802,0.191,0.161,9.07787139345931e-05,0.03
Sept7,9.13757258679024e-10,0.436407180418589,0.142,0.112,4.57152756517116e-06,0.03
Tardbp,1.32996039086951e-05,0.184328591216581,0.268,0.239,0.0665379183552017,0.029
Agpat3,1.26501522532615e-11,0.51730175914329,0.108,0.079,6.32887117230672e-08,0.029
