,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Ube2b,3.37288492929684e-09,1.04745535245202,0.227,0.145,1.68745433012721e-05,0.082
Cd9,6.43132810705237e-16,1.61124461576732,0.139,0.059,3.2175934519583e-12,0.08
Gnai3,6.77774909751931e-10,1.31564382058377,0.204,0.124,3.39090787348891e-06,0.08
Bcl2l11,1.01368282320774e-21,2.19877416884783,0.116,0.038,5.07145516450831e-18,0.078
Lbr,3.00750907732172e-20,1.76431314715765,0.116,0.039,1.50465679138406e-16,0.077
Cyfip2,7.3487895916497e-22,1.84848203859199,0.11,0.035,3.67659943270235e-18,0.075
Il4ra,8.16961992465916e-11,1.41613840718162,0.152,0.079,4.08726084830698e-07,0.073
Stat1,8.17457534935187e-11,1.34778451437962,0.155,0.082,4.08974004728074e-07,0.073
Rara,2.69540028389613e-10,1.40596349621615,0.131,0.065,1.34850876203323e-06,0.066
Birc3,1.33139776083349e-15,2.03870089684671,0.101,0.037,6.66098299744994e-12,0.064
Arrb2,1.87877632695862e-12,1.43894748884992,0.11,0.047,9.39951796377397e-09,0.063
Plp2,2.18660414139761e-08,1.2795937753065,0.139,0.077,0.000109395805194123,0.062
Ptpn1,9.69933415774583e-11,1.44769593045547,0.114,0.053,4.85257687912024e-07,0.061
Casp4,7.18679677045186e-10,1.42240459300032,0.116,0.056,3.59555442425706e-06,0.06
Bcl2l1,8.45435783442791e-08,1.19174464367923,0.131,0.073,0.000422971522456428,0.058
Sirpa,6.5791385595689e-09,1.03769694438893,0.11,0.054,3.29154302135232e-05,0.056
Mboat7,1.20264703566939e-08,1.40445217259883,0.114,0.058,6.01684311945396e-05,0.056
Rnf13,2.75310007923324e-05,0.945856234396307,0.135,0.086,0.137737596964039,0.049
Grk2,0.000473277464284535,0.773523930859646,0.21,0.162,1,0.048
Anxa2,2.87523178332323e-05,0.469161422141505,0.479,0.432,0.143847846119661,0.047
Atp6v1a,0.00018970157833235,1.10208388829464,0.11,0.071,0.949076996396747,0.039
Ccnd3,0.00119835552796845,0.823765323385966,0.133,0.095,1,0.038
Bach1,0.00141085067978401,0.886991034314021,0.114,0.079,1,0.035
Clk1,0.00529399845916486,0.681612727291998,0.15,0.115,1,0.035
Mknk2,0.00758240663656766,0.719537911473334,0.174,0.14,1,0.034
Irf9,0.00424874395859187,0.727926414427206,0.114,0.082,1,0.032
Vasp,0.00613928127044428,0.844282100676768,0.118,0.087,1,0.031
