"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Mkx",2.88674371237045e-06,2.35956446362909,0.035,0.005,0.0144423787929893,1.84036126856805,0.03
"Klf11",0.00100921981252231,1.10008787720848,0.057,0.027,1,0,0.03
"Sirt4",0.00103493451756035,1.04946180413852,0.057,0.027,1,0,0.03
"Hlf",3.04684178685659e-05,1.9229938028006,0.039,0.009,0.152433494596435,0.816919593888041,0.03
"Adamdec1",0.014015273038753,0.72817762581658,0.1,0.07,1,0,0.03
"Nfyc",0.0159548152693171,0.522455873216875,0.096,0.066,1,0,0.03
"Kdm6b",0.0196254874172179,0.521415343030486,0.103,0.073,1,0,0.03
"Col4a5",0.036572844218322,0.390005577193225,0.126,0.096,1,0,0.03
"Diaph1",0.0753722737408118,0.26776443885778,0.177,0.147,1,0,0.03
"Dctn1",0.076922330751706,0.272628826857808,0.179,0.149,1,0,0.03
"Got2",0.0816734285281528,0.285715433741824,0.193,0.163,1,0,0.03
"Atp2b4",0.0825918339388379,0.289303712453687,0.21,0.18,1,0,0.03
"Aplp2",0.101042344180627,0.225100456775222,0.231,0.201,1,0,0.03
"Myo1c",0.130410774844919,0.194031231303934,0.255,0.225,1,0,0.03
"Myh10",0.144154366238745,0.11193015108904,0.221,0.191,1,0,0.03
"Tmem119",0.119503892131358,0.170232119727528,0.298,0.268,1,0,0.03
"Sdcbp",0.183945852731997,0.123371670013936,0.274,0.245,1,0,0.029
"Idi1",0.00993728911711462,0.678464865818882,0.08,0.051,1,0,0.029
"Wwox",0.00717155664553854,0.694965846794723,0.074,0.045,1,0,0.029
"Zfyve9",0.0079873021854028,0.702251118683248,0.076,0.047,1,0,0.029
"Snf8",0.0190304458936605,0.507189116563564,0.094,0.065,1,0,0.029
"Aebp2",0.0298431573874508,0.434680622468425,0.108,0.079,1,0,0.029
"Cers2",0.0316980244168447,0.420802093150956,0.11,0.081,1,0,0.029
"Ptk2",0.0320976005079274,0.394958370164283,0.109,0.08,1,0,0.029
"Stk38l",0.0582296857161748,0.341905797132582,0.166,0.137,1,0,0.029
"Anxa2",0.0604278740918824,0.39932083177367,0.165,0.136,1,0,0.029
"Ap2b1",0.0742873749366151,0.290440102974268,0.159,0.13,1,0,0.029
"Atp5f1",0.126126631986294,0.175047266570093,0.239,0.21,1,0,0.029
"Rlim",0.0401505858493426,0.448868651703596,0.116,0.088,1,0,0.028
"Fh1",0.0539821031641832,0.397956698311501,0.13,0.102,1,0,0.028
"Fzd7",0.0544971486445329,0.342129870293068,0.139,0.111,1,0,0.028
"Srsf4",0.0602278589447069,0.355186023118514,0.137,0.109,1,0,0.028
"Ghr",0.076280805963795,0.177566629886201,0.135,0.107,1,0,0.028
"Mpc2",0.0187063722840174,0.573782953519836,0.087,0.059,1,0,0.028
"Mbd3",0.117380002554337,0.239649709473334,0.224,0.196,1,0,0.028
"Ubr5",0.121067243654666,0.20622234638238,0.194,0.166,1,0,0.028
"Mlec",0.130339251484096,0.197421474084037,0.223,0.195,1,0,0.028
"Sema3c",0.429049526996117,-0.0337024129785362,0.414,0.386,1,0,0.028
"Cdkn1b",0.243962616227927,0.0823858754750249,0.314,0.287,1,0,0.027
"Prkd3",0.0357749442639858,0.445752501367225,0.099,0.072,1,0,0.027
"Tbl1xr1",0.0428445950519106,0.370452779771825,0.113,0.086,1,0,0.027
"Enah",0.0692131133875084,0.316272900717793,0.131,0.104,1,0,0.027
"Nrn1",0.000340805780300192,1.48242121141462,0.042,0.015,1,0,0.027
"Slc4a7",0.0195769506699209,0.573186675337804,0.082,0.055,1,0,0.027
"Ahi1",0.00511302242888578,0.859490860494446,0.06,0.033,1,0,0.027
"Mdp1",0.0237405485802522,0.509200542530222,0.086,0.059,1,0,0.027
"Ncoa2",0.0297328629843616,0.491759075993958,0.094,0.067,1,0,0.027
"Smarcd3",0.0461596117056061,0.403314666422115,0.109,0.082,1,0,0.027
"Tox",0.0468821993777262,0.376842455060924,0.109,0.082,1,0,0.027
"Gpc6",0.0583636508299374,0.34276922108611,0.122,0.095,1,0,0.027
"Mtch2",0.0628297679060146,0.351837101604478,0.127,0.1,1,0,0.027
"Odc1",0.0915518454306596,0.201976122032009,0.147,0.12,1,0,0.027
"Adgrl1",0.101274294856928,0.264927589491013,0.213,0.186,1,0,0.027
"Kpnb1",0.106890992907716,0.285051056552606,0.206,0.179,1,0,0.027
"Tardbp",0.152419270200907,0.172513402159916,0.284,0.257,1,0,0.027
"Gpc3",0.107599742114781,0.48672348609666,0.266,0.24,1,0,0.026
"Sod1",0.154535815186543,0.2139529195302,0.232,0.206,1,0,0.026
"Nr1d1",0.0649095301839388,0.430410412838079,0.138,0.112,1,0,0.026
"Polr2a",0.0814754422114444,0.316272900717793,0.13,0.104,1,0,0.026
"Nrep",0.0107881713677179,0.741155479814791,0.066,0.04,1,0,0.026
"Emc2",0.0116716235506262,0.705531570084069,0.067,0.041,1,0,0.026
"Hdac4",0.0261737138013348,0.590369124781736,0.084,0.058,1,0,0.026
"Ndrg2",0.0273823187200403,0.489390766229464,0.083,0.057,1,0,0.026
"Adra2a",0.000161728928708096,1.92988018838584,0.036,0.01,0.809129830326606,0.0919817873240159,0.026
"Hoxb5",0.033951006563394,0.465381308116158,0.091,0.065,1,0,0.026
"Prkaa1",0.0477371185850778,0.453059151783279,0.105,0.079,1,0,0.026
"Ppp2r1a",0.116963759565921,0.219386805580828,0.157,0.131,1,0,0.026
"Ctnna1",0.167254484158165,0.148406088035365,0.248,0.222,1,0,0.026
"Actg2",0.190232148533233,0.0214178581835979,0.53,0.505,1,0,0.025
"Sptan1",0.202909651680722,0.14899747768943,0.335,0.31,1,0,0.025
"Park7",0.0603593662019061,0.335410601920312,0.111,0.086,1,0,0.025
"Ecpas",0.063472789740215,0.33468979499006,0.114,0.089,1,0,0.025
"Glo1",0.08300680971735,0.362643856561061,0.128,0.103,1,0,0.025
"Gps1",0.094807362349117,0.243634351827505,0.137,0.112,1,0,0.025
"Grik3",1.03423946045053e-05,2.85497537937195,0.028,0.003,0.05174300020634,1.28614839325994,0.025
"Ift88",0.00233061381651211,1.12823891752263,0.046,0.021,1,0,0.025
"Mtus1",0.0060388145982392,0.743237791998597,0.053,0.028,1,0,0.025
"Rnf220",0.0311779439073675,0.485741569706234,0.087,0.062,1,0,0.025
"Adgre5",0.0458066653041097,0.375506007498111,0.091,0.066,1,0,0.025
"Rab8a",0.0665661121527756,0.365145495892389,0.109,0.084,1,0,0.025
"Nfatc3",0.0823241042831443,0.279724591419094,0.119,0.094,1,0,0.025
"Gas6",0.0942456673578512,0.349100627796767,0.143,0.118,1,0,0.025
"Iqgap1",0.110684143893551,0.290440102974268,0.152,0.127,1,0,0.025
"Amd1",0.137395924210824,0.256962487030391,0.175,0.15,1,0,0.025
"Slk",0.139838813162531,0.211119189597228,0.189,0.164,1,0,0.025
"Myo1e",0.144219389279921,0.229655141034655,0.172,0.147,1,0,0.025
"Vcp",0.130026890887914,0.268296406061775,0.165,0.141,1,0,0.024
"Lrig1",0.409056745760553,0.04221075030001,0.433,0.409,1,0,0.024
"Fbxl3",0.0586037645286702,0.437566975630362,0.096,0.072,1,0,0.024
"Hsd17b4",0.0608337507316827,0.431397208390155,0.097,0.073,1,0,0.024
"Slc20a2",0.0638024869923032,0.342129870293068,0.096,0.072,1,0,0.024
"Cmip",0.0701615003273193,0.357741728022271,0.111,0.087,1,0,0.024
"Eno1",0.0955060015857755,0.350631338859081,0.127,0.103,1,0,0.024
"Usp7",0.0967053496900274,0.338685733953172,0.138,0.114,1,0,0.024
"Agtr1a",5.54987316408028e-05,2.2700128786508,0.029,0.005,0.277660154398936,0.556486439177604,0.024
"Cdkn1a",0.00140350951479453,1.26708354761212,0.04,0.016,1,0,0.024
"Prkca",0.00437059400050653,0.99699438424438,0.047,0.023,1,0,0.024
"Ezr",0.00936080768329524,0.785490279050669,0.054,0.03,1,0,0.024
"Mlst8",0.00243023887955129,1.14138429357956,0.043,0.019,1,0,0.024
"Egln2",0.0897119864783437,0.362865826719339,0.12,0.096,1,0,0.024
"Hipk2",0.107306172228185,0.363533365832034,0.145,0.121,1,0,0.024
"Bcl2l1",0.114513093112957,0.369471421295178,0.152,0.128,1,0,0.024
"Ube2g2",0.137247140733948,0.203445261711807,0.161,0.137,1,0,0.024
"Sdhb",0.141960177227859,0.28144777371308,0.172,0.148,1,0,0.024
"Tpi1",0.156398928514517,0.206917453618612,0.186,0.162,1,0,0.024
"Kif5b",0.191833858035177,0.156823507951186,0.242,0.218,1,0,0.024
"Picalm",0.221499882864631,0.129097920251725,0.225,0.201,1,0,0.024
"Xist",0.221519218496057,0.101488552115486,0.213,0.189,1,0,0.024
"Twf1",0.155442582908523,0.273055470374414,0.17,0.147,1,0,0.023
"Rbbp4",0.238412989234272,0.120906987929857,0.227,0.204,1,0,0.023
"Vdac1",0.248873525151884,0.153395941586947,0.27,0.247,1,0,0.023
"Bmpr2",0.286544325675476,0.118300680466514,0.32,0.297,1,0,0.023
"Afdn",0.0829798877287217,0.380323023795886,0.114,0.091,1,0,0.023
"Cspg4",0.107087075497898,0.342129870293068,0.137,0.114,1,0,0.023
"Appl1",0.128599848944727,0.230882444418657,0.139,0.116,1,0,0.023
"Cnppd1",0.140032501892121,0.164104370079639,0.128,0.105,1,0,0.023
"Pde1c",2.89882118150714e-05,2.69743410238547,0.026,0.003,0.145028023710802,0.838548071095829,0.023
"Fcrls",0.000893753621307677,1.43756697563036,0.037,0.014,1,0,0.023
"Cers6",0.00767030002115767,0.881517166824444,0.048,0.025,1,0,0.023
"Patz1",0.0256606810302478,0.639442379626297,0.065,0.042,1,0,0.023
"Smad7",0.044290355509713,0.412031883523224,0.076,0.053,1,0,0.023
"Hsf1",0.0459778145593384,0.519415418896823,0.079,0.056,1,0,0.023
"Klf5",0.0344814811036215,0.690016630822989,0.073,0.05,1,0,0.023
"Smpd1",0.0703347282046719,0.366228193910099,0.093,0.07,1,0,0.023
"Kdm2a",0.0864003195199111,0.376842455060924,0.105,0.082,1,0,0.023
"Nog",0.146862463366767,0.211845256568209,0.144,0.121,1,0,0.023
"Pkd1",0.302595996247781,0.0802498878937326,0.294,0.271,1,0,0.023
"Ece1",0.315525234253611,0.0826394113245588,0.297,0.274,1,0,0.023
"Flna",0.00179557391163769,0.272400021342279,0.722,0.7,1,0,0.022
"Atf6b",0.203419563470533,0.172081090802472,0.171,0.149,1,0,0.022
"Nek7",0.268514563756292,0.0761645976779879,0.196,0.174,1,0,0.022
"Map1lc3a",0.275674466352767,0.130425371653009,0.259,0.237,1,0,0.022
"Cd109",0.00104240444640557,1.50600803173224,0.035,0.013,1,0,0.022
"Idh2",0.0795794106546269,0.485280865553863,0.096,0.074,1,0,0.022
"Kdm5a",0.0932704880809854,0.374064033324204,0.1,0.078,1,0,0.022
"Cmklr1",0.00484154586357335,1.10661887541888,0.041,0.019,1,0,0.022
"Asap2",0.0114285587563014,0.851143517780925,0.048,0.026,1,0,0.022
"Grk3",0.00746418166809349,0.899697182889465,0.044,0.022,1,0,0.022
"B4galnt2",0.00949950484530473,1.2738345896032,0.047,0.025,1,0,0.022
"Dsg2",0.0104753998059567,0.827069382802067,0.047,0.025,1,0,0.022
"Il6ra",0.0233391931366411,0.675066289357019,0.057,0.035,1,0,0.022
"Camk2d",0.0470749491205136,0.56334120679819,0.073,0.051,1,0,0.022
"Gtpbp2",0.047632877855425,0.525373356599169,0.073,0.051,1,0,0.022
"Psmd3",0.059022231992786,0.496565393734891,0.08,0.058,1,0,0.022
"Afg3l2",0.0613641842696059,0.356890329330763,0.078,0.056,1,0,0.022
"Abcd3",0.117633640544286,0.36115071452104,0.121,0.099,1,0,0.022
"Ext2",0.121509635831871,0.321956539221376,0.119,0.097,1,0,0.022
"Abi1",0.225328743056766,0.136852047827341,0.178,0.156,1,0,0.022
"Selenof",0.288161799770083,0.110950573541466,0.293,0.271,1,0,0.022
"Ccnd3",0.322731478505332,0.11543584154192,0.349,0.327,1,0,0.022
"Gtf2i",0.420292086719436,0.025008760413977,0.296,0.274,1,0,0.022
"Slc24a3",0.956783573676336,-0.0541636560295827,0.496,0.475,1,0,0.021
"Ruvbl1",0.0550955236455028,0.499494724773564,0.07,0.049,1,0,0.021
"Smc5",0.0558055954153085,0.469747381379511,0.07,0.049,1,0,0.021
"Commd1",0.0690381612667825,0.423259138946479,0.084,0.063,1,0,0.021
"Lamtor1",0.0983932142383619,0.334864023000764,0.092,0.071,1,0,0.021
"Zdhhc8",0.10709615596824,0.39365335420837,0.1,0.079,1,0,0.021
"Qsox1",0.114585252365843,0.333277772108813,0.101,0.08,1,0,0.021
"Kif5c",0.000237532525197508,2.2700128786508,0.026,0.005,1,0,0.021
"Misp",0.0110068096897663,1.02674172763843,0.044,0.023,1,0,0.021
"Evpl",0.0299904414461376,0.68383649898475,0.062,0.041,1,0,0.021
"Cldn7",0.0300613446728417,0.469747381379511,0.06,0.039,1,0,0.021
"Vasp",0.0633602800900542,0.458898488561198,0.074,0.053,1,0,0.021
"Tmem98",0.0639765717085539,0.418458152682657,0.074,0.053,1,0,0.021
"Slc2a4",0.0719071022255372,0.441296478028419,0.078,0.057,1,0,0.021
"Nr2c2",0.0735479958163508,0.43089091077454,0.079,0.058,1,0,0.021
"Grb2",0.15174189954772,0.25764613876718,0.121,0.1,1,0,0.021
"Anxa6",0.272381576441373,0.105285986777828,0.4,0.38,1,0,0.02
"Rnf10",0.296290122727147,0.124662909393634,0.277,0.257,1,0,0.02
"Ufd1",0.117204636759553,0.318922479131742,0.091,0.071,1,0,0.02
