"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Cox8b",1,0.046908642889667,0,0,1,0,0
"Cpa4",1,0.046908642889667,0,0,1,0,0
"Cplx3",1,0.046908642889667,0,0,1,0,0
"Crb1",1,0.046908642889667,0,0,1,0,0
"Crh",1,0.046908642889667,0,0,1,0,0
"Crhbp",1,0.046908642889667,0,0,1,0,0
"Crhr1",1,0.046908642889667,0,0,1,0,0
"Crhr2",1,0.046908642889667,0,0,1,0,0
"Crisp1",1,0.046908642889667,0,0,1,0,0
"Crtc1",1,0.046908642889667,0,0,1,0,0
"Crx",1,0.046908642889667,0,0,1,0,0
"Crxos",1,0.046908642889667,0,0,1,0,0
"Cryaa",1,0.046908642889667,0,0,1,0,0
"Cryba2",1,0.046908642889667,0,0,1,0,0
"Crygb",1,0.046908642889667,0,0,1,0,0
"Crygc",1,0.046908642889667,0,0,1,0,0
"Crygd",1,0.046908642889667,0,0,1,0,0
"Cryge",1,0.046908642889667,0,0,1,0,0
"Crygf",1,0.046908642889667,0,0,1,0,0
"Crygs",1,0.046908642889667,0,0,1,0,0
